Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size
11,Pam's Pink American Honeysuckle,0,Lonicera x americana,['sun'],10,"Pam's Pink American Honeysuckle is a vigorous but less rampant semi-evergreen vine than Lonicera sempervirens or Lonicera japonica. The green to blue-green foliage is similar to L. sempervirens, but with prominently purple stems. The tubular pink buds open to expose a white throat. Flowering peaks in spring and occurs sporadically thereafter throughout summer, fall, and even mild winters.","{'white', 'pink'}","{'fall', 'spring', 'summer', 'winter'}",FALSE,"[20, 20]","[20, 20]","As long as the soil is moderately well-drained and not excessively droughty this vine is easily established. I have observed limited infestation with leaf miner, but no powdery mildew.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/loniceraxamericana2.jpg,['vine'],"['small', 'medium']"
12,Osage Orange (Horse Apple),0,Maclura pomifera,"['sun', 'partial sun']",10,Osage Orange is a large shrub to medium size deciduous tree with a rounded spreading canopy of dark glossy green leaves. It is native to Texas and Oklahoma and is useful as a shade tree for very difficult sites. Spiny forms are used as living fences and the wood was once a favorite manufacture of bows by native Americans.,{'green'},{'spring'},FALSE,"[25, 50]","[25, 50]","A tough adaptable plant that has few pest/disease problems, but limited ornamental appeal. Use of mature thornless male selections is encouraged if it is intended as a shade tree.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/maclurapomifera.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
13,Giant Turk's Cap,0,Malvaviscus arboreus var. mexicanus,"['sun', 'partial sun']",10,Giant Turk's Cap is a subtropical perennial or woody shrub often planted as a summer annual in cooler regions. The dark green leaves contrast with the large drooping red blossoms.,"{'red', 'white'}","{'fall', 'spring', 'summer'}",TRUE,"[7, 9]","[3, 4]","Less cold and shade tolerant than M. arboreus var. drummondii, but leaves do not distort in sunny locations.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/malvaviscusarboreusvarmexicana4.jpg,"['perennial', 'shrub', 'annual', 'tropical']","['small', 'medium', 'large']"
14,Yellow Bird Of Paradise,0,Caesalpinia gilliesii,['sun'],10,"The Yellow Bird Of Paradise is a semi-evergreen medium shrub to small tree suitable for use in South Texas. The flowers are similar to those of Caesalpinia pulcherrima but more yellow than red and not quite as fantastic, although certainly still outstanding. Caesalpinia gilliesii offers a more cold hardy alternative to C. pulcherrima. Can be used as a herbaceous perennial in Central Texas and a container plant northward.","{'red', 'yellow'}","{'fall', 'spring', 'summer'}",FALSE,"[4, 10]","[5, 8]","Tends to require regular pruning and staking to acheive a tree form. While drought tolerant, regular irrigation increases growth rates and flowering. Requires well drained soils. Marginal shoot hardiness in USDA zone 8, more herbaceous perennial or subshrub in z.8.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/caesalpiniagilliesii5.jpg,"['perennial', 'shrub', 'tree', 'annual', 'tropical']","['small', 'medium', 'large']"
15,Turk's Cap,0,Malvaviscus arboreus var. drummondii,"['sun', 'partial sun', 'shade']",10,"An outstanding native Texas herbaceous perennial. Spreads from root suckers and seeds; dark green lobed red maple like leaves; 1 inch long upright red flowers; adaptable to sun or shade, best in partial shade. Excellent in naturalized landscapes, shaded understories, tall groundcover, hummingbird plant.",{'red'},"{'fall', 'spring', 'summer'}",TRUE,"[3, 8]","[2, 6]",Can be used as an annual in cooler climates; foliage can become distorted (puckered) in full sun.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/malvaviscus.jpg,"['perennial', 'groundcover', 'shrub']",['small']
16,Heavenly Bamboo or Nandina,0,Nandina domestica,"['sun', 'partial sun', 'shade']",10,"Nandina domestica is a reliable old-fashioned medium size evergreen shrub that has gained renewed popularity with the introduction / promotion of new dwarf cultivars. The coarse seldom-branched suckering stems are hidden by the highly dissected bipinnate or tripinnately compound leaves. The foliage color ranges from a bright green to dark green, red, or yellow depending upon the developmental stage of the foliage and / or cultivar. The white spring flowers and red fall / winter berries are assets on the species types.",{'white'},{'spring'},TRUE,"[1, 8]","[0, 20]","Despite its generally wide adaptability, the species tends to be short-lived on some sites. With adequate moisture Nandina can tolerate full sun, but in general it benefits from some afternoon shade in most of Texas. Nandina can survive in surprisingly dense shade, however, the foliage is open and generally unthrifty. Chlorosis can develop on very high pH soils.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/nandinadomestica4.jpg,['shrub'],"['small', 'medium']"
17,Rockrose,0,Pavonia lasiopetala,"['sun', 'partial sun']",10,"Rockrose is a small deciduous to semi-evergreen shrub, subshrub, herbaceous perennial or summer annual depending upon the region in which it is grown. Plants have irregularly rounded crowns and look best in masses. The small cordate leaves and pink hibiscus-like flowers add seasonal interest. It works best as summer color, a tall bank or groundcover, in mixed perennial borders, for naturalizing, or low shrub in warmer regions.",{'pink'},"{'fall', 'spring', 'summer'}",TRUE,"[1, 5]","[2, 5]",Plants are marginally hardy in USDA zone 7 and are usually subshrubs or herbaceous perennials in zone 8.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/pavonialasiopetala.jpg,"['perennial', 'groundcover', 'shrub', 'annual']",['small']
18,Ash Juniper,0,Juniperus ashei,['sun'],10,Ash Juniper is an evergreen large shrub to medium size tree native to the Texas Hill Country. This species range occurs just to the west of that of Juniperus virginiana. Trees begin roughly conical and become more rounded in habit at maturity. Trunks may be single to multiple stem. The bark on the sinuous trunk exfoliates in stringy strips. It serves as critical habitate for several species of wildlife.,set(),"{'spring', 'winter'}",TRUE,"[15, 25]","[15, 20]",Tends to develop dense thickets when not controlled.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/juniperusashei4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
19,"Anacahuite, Texas Olive, or Mexican Olive",0,Cordia boissieri,"['sun', 'partial sun']",10,Anacahuite is a handsome large shrub to small evergreen to semievergreen tree native to Texas and Mexico. The cymes of showy white flowers are highlighted by the dark green foliage background. Anacahuite has become a popular small tree for subtropical and tropical landscapes outside its native range.,"{'red', 'white'}","{'spring', 'summer'}",TRUE,"[10, 30]","[15, 30]",Avoid use in poorly drained soils. Reportedly resistant to cotton root rot.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/cordiaboissieri.jpg,"['shrub', 'tree', 'tropical']","['small', 'large']"
20,Primrose Jasmine,0,Jasminum mesnyi,"['sun', 'partial sun']",10,Primrose Jasmine is a small to medium size semi-evergreen to evergreen shrub. Plants develop long arching stems resulting in a flowing mound of foliage that works well cascading down slopes or over retaining walls. Solitary bright yellow flowers appear in late winter to early spring when few other shrubs are in bloom.,{'yellow'},"{'spring', 'winter'}",FALSE,"[4, 7]","[6, 10]","Plants may need periodic pruning to enhance their shape. Bothered by very few pests or diseases. Tough durable shrub. Bloom is interesting, but not breathtaking.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/jasminum.jpg,['shrub'],"['small', 'medium']"
21,Dwarf Pampas Grass,0,Cortaderia selloana,"['sun', 'partial sun']",10,"Dwarf Pampas Grass is a smaller version of the species type, that is about half to two-thirds the size. Useful near parking lots and sidewalks to allow a better range of vision.",{'white'},{'summer'},TRUE,"[5, 6]","[5, 6]",Similar to the species type in cultural requirements.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/cortaderiasellowiana.jpg,"['perennial', 'grass']",['small']
22,Gray Cotoneaster,0,Cotoneaster glaucophyllus,['sun'],10,"Gray Cotoneaster is a small to medium size irregularly urpight rounded evergreen shrub. Although potentially larger, most plants in our region mature at 2 to 4 tall with an equal or greater spread. The primary ornamental features are the small leaves covered in dense silver-white pubescence. Flower and fruit effects are minimal compared to the foliage. Site in a sunny spot with good air movement. Very nice in combination with violet or blue flowering plants.",{'pink'},"{'spring', 'summer'}",TRUE,"[2, 6]","[3, 6]","Appears to tolerate hot humid conditions better an most Cotoneasters. Drip irrigation is better than overhead with Cotoneasters. Needs a steady moisture supply, but also a very well drained soil.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/cotoneasterglaucophyllus2.jpg,"['groundcover', 'shrub']","['small', 'medium', 'large']"
23,Sotol or Desert Spoon,0,Dasylirion spp.,['sun'],10,"Sotol are close relatives of Nolina, and are similar in useage to Agavae and Yucca. Sotol exist in arid regions as small evergreen shrub-like clumps of strap-like or sword-like foliage, with or without marginal spines. The spiky flowering stalks are spectacular, sometimes reaching 15 ft in height. Plants are dioecious with females having showier creamy white flowers than the males.",{'white'},"{'spring', 'summer'}",FALSE,"[2, 15]","[2, 4]","Require a sunny location with well drained soil, otherwise very adaptable. Few diseases or pests. Native Americans formerly distilled a fermented drink from the plant carrying the same name, sotol.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/daryliri.jpg,['shrub'],['small']
25,Indian Paintbrush,0,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'red', 'yellow', 'orange'}",{'spring'},FALSE,"[1, 2]","[1.0, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
26,Texas Bluebonnet,0,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
27,Goldenball Leadtree,0,Leucaena retusa,"['sun', 'partial sun']",10,Goldenball Leadtree is an underutilized Texas native small single or multi-stem tree. Used in West and South Texas as a small patio or courtyard tree. It casts a filtered shade and has outstanding bright yellow flowers spring to fall; largest flushes after rain events.,{'yellow'},"{'fall', 'spring', 'summer'}",FALSE,"[15, 25]","[15, 25]","Soil pH adaptable, prefers good drainage, very drought tolerant, can withstand reflected heat. Branches tend to be brittle in high winds or under snow or ice loads.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucaena.jpg,['tree'],"['small', 'large']"
28,"Texas Sage, Cenizo, or Texas Ranger",0,Leucophyllum frutescens,['sun'],10,"Texas Sage is perhaps the most widely planted of the native Trans Pecos plants in landscapes outside that region. Valued for its outstanding gray-green to siver-gray foliage and purple-pink flowers, it is suprisingly adapted to useage in much of the southern two thirds of Texas. A good semi-evergreen shrub with summer interest. Benefits from occasional pruning to enhance canopy density.","{'white', 'pink'}","{'fall', 'spring', 'summer'}",FALSE,"[4, 10]","[4, 6]","Tolerates most soils as long as they are well drained. Frequently killed by kindness (over irrigation). Not particularly well adapted to humid regions, best in drier atmospheric regions. Tends to become leggy with age.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophy.jpg,['shrub'],"['medium', 'large']"
30,Violet Silverleaf,0,Leucophyllum candidum,['sun'],10,"Violet Silverleaf is very similar to Leucophyllum frutescens, but is perhaps even more attractive. The silver-gray to silver-white foliage is striking and is the perfect foil for the violet flowers that follow rain events. Smaller and denser plant than L. frutescens.",{'violet'},"{'fall', 'spring', 'summer'}",FALSE,"[2, 4]","[2, 4]","Requires absolutely good drainage. Super shrub for West Texas, dislikes humidity of East Texas.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophyllumcandidum.jpg,['shrub'],"['small', 'medium']"
31,Bay Laurel,0,Laurus nobilis,"['sun', 'partial sun']",10,Bay Laurel is the classic laurel of antiquity used to fashion victory wreaths for ancient Greek and Roman generals and athletes. It also serves as a handsome upright growing evergreen larger shrub to small tree. The foliage is bay scented when crushed.,{'white'},{'spring'},FALSE,"[10, 20]","[8, 15]",Also an important culinary herb. A moderately slow growing species.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/laurusnobilis4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
32,Creosote Bush,0,Larrea tridentata,['sun'],10,Creosote Bush is a trademark plant of the Southwestern USA. This evergreen arid region shrub covers many acres of otherwise non-vegetated land. It forms an irregular spreading to upright rounded small to medium size mound. Scent from the fragrant yellow flowers permeates the air following rain events. Difficult to grown in Central and East Texas.,{'yellow'},"{'fall', 'spring', 'summer'}",TRUE,"[3, 10]","[3, 6]","Can exist on as little as 3 inch of rainfall per year; incredible drought and heat tolerance, can be used in protected locations in USDA zone 7. Some clonal groupings are reported to be among the oldest living organisms in the world.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/larreatridentata.jpg,['shrub'],"['small', 'medium']"
33,Eastern Redcedar,0,Juniperus virginiana,['sun'],10,"Juniperus virginiana is a variable coniferous species ranging from Canada to the Southern USA. Shape and foliage color vary, with clones selected that mature in height from 4 ft to 50 ft. Some individuals have blue berries from late spring to early autumn. Pollen of this species is a major contributor to alleries in some people. This species can be used for nearly every purpose that an evergreen can serve.",set(),{'spring'},TRUE,"[4, 50]","[8, 12]","One of our most versatile conifers. These shrubs or trees can be grown in nearly any soil as long as it is well drained and the site is not shady. Juniper blight, spider mites, bagworms, cedar-apple rust, and root rots on wet soils can be limitations.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/juniperusvirginiana12.jpg,"['groundcover', 'shrub', 'tree']","['small', 'medium', 'large']"
34,Liriope or Lilyturf,0,Liriope muscari,"['sun', 'partial sun', 'shade']",10,Liriope forms a dense evergreen clump 8 inch to 18 inch tall and wide. Can be used on tight spacings as a groundcover or for edging or specialty work. Blue-purple to white flowers are more attractive than those of Ophiopogon spp. Better adapted to full sun locations in Texas than most Ophiopogon spp. Very versatile plant.,"{'blue', 'white'}",{'summer'},TRUE,"[0.6666666666666666, 1.5]","[0.6666666666666666, 1.5]",Variegated forms are available and benefit from some afternoon shade; few limitations and hence an over-utilized plant.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/liriope.jpg,"['perennial', 'groundcover']","['small', 'medium']"
35,Winter Honeysuckle,0,Lonicera fragrantissima,"['sun', 'partial sun']",10,"Winter Honeysuckle is a deciduous shrub valued for its late winter to early spring fragrant flowers. While very durable, the shrub possesses little ornamental merit aside from the off-season flowers.",{'white'},"{'spring', 'winter'}",FALSE,"[6, 8]","[6, 8]",An old-fashion shrub that would hold little interest if the flowering did not occur when little else was in bloom. Has become weedy in some locales.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lonicerafrag2.jpg,['shrub'],"['medium', 'large']"
36,Pam's Pink American Honeysuckle,0,Lonicera x americana,['sun'],10,"Pam's Pink American Honeysuckle is a vigorous but less rampant semi-evergreen vine than Lonicera sempervirens or Lonicera japonica. The green to blue-green foliage is similar to L. sempervirens, but with prominently purple stems. The tubular pink buds open to expose a white throat. Flowering peaks in spring and occurs sporadically thereafter throughout summer, fall, and even mild winters.","{'white', 'pink'}","{'fall', 'spring', 'summer', 'winter'}",FALSE,"[20, 20]","[20, 20]","As long as the soil is moderately well-drained and not excessively droughty this vine is easily established. I have observed limited infestation with leaf miner, but no powdery mildew.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/loniceraxamericana2.jpg,['vine'],"['small', 'medium']"
37,Osage Orange (Horse Apple),0,Maclura pomifera,"['sun', 'partial sun']",10,Osage Orange is a large shrub to medium size deciduous tree with a rounded spreading canopy of dark glossy green leaves. It is native to Texas and Oklahoma and is useful as a shade tree for very difficult sites. Spiny forms are used as living fences and the wood was once a favorite manufacture of bows by native Americans.,{'green'},{'spring'},FALSE,"[25, 50]","[25, 50]","A tough adaptable plant that has few pest/disease problems, but limited ornamental appeal. Use of mature thornless male selections is encouraged if it is intended as a shade tree.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/maclurapomifera.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
38,Giant Turk's Cap,0,Malvaviscus arboreus var. mexicanus,"['sun', 'partial sun']",10,Giant Turk's Cap is a subtropical perennial or woody shrub often planted as a summer annual in cooler regions. The dark green leaves contrast with the large drooping red blossoms.,"{'red', 'white'}","{'fall', 'spring', 'summer'}",TRUE,"[7, 9]","[3, 4]","Less cold and shade tolerant than M. arboreus var. drummondii, but leaves do not distort in sunny locations.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/malvaviscusarboreusvarmexicana4.jpg,"['perennial', 'shrub', 'annual', 'tropical']","['small', 'medium', 'large']"
39,Yellow Bird Of Paradise,0,Caesalpinia gilliesii,['sun'],10,"The Yellow Bird Of Paradise is a semi-evergreen medium shrub to small tree suitable for use in South Texas. The flowers are similar to those of Caesalpinia pulcherrima but more yellow than red and not quite as fantastic, although certainly still outstanding. Caesalpinia gilliesii offers a more cold hardy alternative to C. pulcherrima. Can be used as a herbaceous perennial in Central Texas and a container plant northward.","{'red', 'yellow'}","{'fall', 'spring', 'summer'}",FALSE,"[4, 10]","[5, 8]","Tends to require regular pruning and staking to acheive a tree form. While drought tolerant, regular irrigation increases growth rates and flowering. Requires well drained soils. Marginal shoot hardiness in USDA zone 8, more herbaceous perennial or subshrub in z.8.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/caesalpiniagilliesii5.jpg,"['perennial', 'shrub', 'tree', 'annual', 'tropical']","['small', 'medium', 'large']"
40,Turk's Cap,0,Malvaviscus arboreus var. drummondii,"['sun', 'partial sun', 'shade']",10,"An outstanding native Texas herbaceous perennial. Spreads from root suckers and seeds; dark green lobed red maple like leaves; 1 inch long upright red flowers; adaptable to sun or shade, best in partial shade. Excellent in naturalized landscapes, shaded understories, tall groundcover, hummingbird plant.",{'red'},"{'fall', 'spring', 'summer'}",TRUE,"[3, 8]","[2, 6]",Can be used as an annual in cooler climates; foliage can become distorted (puckered) in full sun.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/malvaviscus.jpg,"['perennial', 'groundcover', 'shrub']",['small']
41,Heavenly Bamboo or Nandina,0,Nandina domestica,"['sun', 'partial sun', 'shade']",10,"Nandina domestica is a reliable old-fashioned medium size evergreen shrub that has gained renewed popularity with the introduction / promotion of new dwarf cultivars. The coarse seldom-branched suckering stems are hidden by the highly dissected bipinnate or tripinnately compound leaves. The foliage color ranges from a bright green to dark green, red, or yellow depending upon the developmental stage of the foliage and / or cultivar. The white spring flowers and red fall / winter berries are assets on the species types.",{'white'},{'spring'},TRUE,"[1, 8]","[0, 20]","Despite its generally wide adaptability, the species tends to be short-lived on some sites. With adequate moisture Nandina can tolerate full sun, but in general it benefits from some afternoon shade in most of Texas. Nandina can survive in surprisingly dense shade, however, the foliage is open and generally unthrifty. Chlorosis can develop on very high pH soils.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/nandinadomestica4.jpg,['shrub'],"['small', 'medium']"
42,Rockrose,0,Pavonia lasiopetala,"['sun', 'partial sun']",10,"Rockrose is a small deciduous to semi-evergreen shrub, subshrub, herbaceous perennial or summer annual depending upon the region in which it is grown. Plants have irregularly rounded crowns and look best in masses. The small cordate leaves and pink hibiscus-like flowers add seasonal interest. It works best as summer color, a tall bank or groundcover, in mixed perennial borders, for naturalizing, or low shrub in warmer regions.",{'pink'},"{'fall', 'spring', 'summer'}",TRUE,"[1, 5]","[2, 5]",Plants are marginally hardy in USDA zone 7 and are usually subshrubs or herbaceous perennials in zone 8.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/pavonialasiopetala.jpg,"['perennial', 'groundcover', 'shrub', 'annual']",['small']
43,Ash Juniper,0,Juniperus ashei,['sun'],10,Ash Juniper is an evergreen large shrub to medium size tree native to the Texas Hill Country. This species range occurs just to the west of that of Juniperus virginiana. Trees begin roughly conical and become more rounded in habit at maturity. Trunks may be single to multiple stem. The bark on the sinuous trunk exfoliates in stringy strips. It serves as critical habitate for several species of wildlife.,set(),"{'spring', 'winter'}",TRUE,"[15, 25]","[15, 20]",Tends to develop dense thickets when not controlled.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/juniperusashei4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
44,"Anacahuite, Texas Olive, or Mexican Olive",0,Cordia boissieri,"['sun', 'partial sun']",10,Anacahuite is a handsome large shrub to small evergreen to semievergreen tree native to Texas and Mexico. The cymes of showy white flowers are highlighted by the dark green foliage background. Anacahuite has become a popular small tree for subtropical and tropical landscapes outside its native range.,"{'red', 'white'}","{'spring', 'summer'}",TRUE,"[10, 30]","[15, 30]",Avoid use in poorly drained soils. Reportedly resistant to cotton root rot.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/cordiaboissieri.jpg,"['shrub', 'tree', 'tropical']","['small', 'large']"
45,Primrose Jasmine,0,Jasminum mesnyi,"['sun', 'partial sun']",10,Primrose Jasmine is a small to medium size semi-evergreen to evergreen shrub. Plants develop long arching stems resulting in a flowing mound of foliage that works well cascading down slopes or over retaining walls. Solitary bright yellow flowers appear in late winter to early spring when few other shrubs are in bloom.,{'yellow'},"{'spring', 'winter'}",FALSE,"[4, 7]","[6, 10]","Plants may need periodic pruning to enhance their shape. Bothered by very few pests or diseases. Tough durable shrub. Bloom is interesting, but not breathtaking.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/jasminum.jpg,['shrub'],"['small', 'medium']"
