Sun Exposure,Color,Blooming Period,Fruit?,Type,Size,Score,Plant,Good?
partial sun,orange,winter,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,False
shade,blue,summer,FALSE,tropical,small,10.0,Giant Turk's Cap,False
sun,red,spring,FALSE,annual,large,10.0,Giant Turk's Cap,False
sun,yellow,winter,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,summer,FALSE,perennial,small,10.0,Pam's Pink American Honeysuckle,True
shade,red,summer,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,spring,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
shade,white,winter,TRUE,perennial,medium,10.0,Giant Turk's Cap,False
sun,red,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,fall,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,orange,fall,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
partial sun,orange,spring,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,pink,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,fall,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,winter,FALSE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,spring,TRUE,perennial,small,10.0,Giant Turk's Cap,True
shade,blue,fall,FALSE,perennial,large,10.0,Giant Turk's Cap,False
sun,blue,spring,FALSE,tropical,small,10.0,Giant Turk's Cap,False
shade,white,fall,FALSE,tropical,small,10.0,Giant Turk's Cap,False
sun,blue,summer,FALSE,annual,small,10.0,Giant Turk's Cap,False
shade,pink,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
partial sun,white,winter,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,summer,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,summer,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,summer,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,fall,TRUE,annual,large,10.0,Giant Turk's Cap,True
shade,pink,fall,TRUE,perennial,medium,10.0,Giant Turk's Cap,True
partial sun,white,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,True
shade,orange,fall,FALSE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,TRUE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,winter,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,summer,TRUE,perennial,small,10.0,Giant Turk's Cap,False
shade,pink,winter,TRUE,vine,large,10.0,Giant Turk's Cap,False
shade,yellow,summer,TRUE,shrub,medium,10.0,Giant Turk's Cap,True
shade,pink,fall,FALSE,annual,large,10.0,Giant Turk's Cap,True
partial sun,yellow,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,spring,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,True
sun,red,summer,TRUE,perennial,large,10.0,Giant Turk's Cap,False
partial sun,red,spring,FALSE,vine,large,10.0,Giant Turk's Cap,True
sun,red,summer,FALSE,perennial,medium,10.0,Giant Turk's Cap,True
sun,yellow,summer,FALSE,annual,medium,10.0,Mexican Zinnia,False
shade,red,winter,FALSE,shrub,small,10.0,Mexican Zinnia,False
sun,orange,spring,FALSE,perennial,large,10.0,Mexican Zinnia,False
sun,red,fall,TRUE,vine,large,10.0,Giant Turk's Cap,False
sun,orange,winter,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,True
shade,white,fall,FALSE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,summer,TRUE,annual,large,10.0,Giant Turk's Cap,False
partial sun,yellow,spring,FALSE,annual,small,10.0,Giant Turk's Cap,False
shade,orange,spring,TRUE,vine,small,10.0,Giant Turk's Cap,False
partial sun,pink,spring,TRUE,shrub,medium,10.0,Giant Turk's Cap,True
shade,blue,winter,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
partial sun,blue,fall,TRUE,shrub,large,10.0,Giant Turk's Cap,False
shade,yellow,spring,FALSE,shrub,large,10.0,Giant Turk's Cap,False
sun,yellow,fall,FALSE,perennial,medium,10.0,Mexican Zinnia,False
sun,yellow,summer,FALSE,vine,large,10.0,Mexican Zinnia,False
partial sun,pink,summer,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
shade,blue,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,True
partial sun,pink,spring,TRUE,perennial,small,10.0,Giant Turk's Cap,False
shade,orange,summer,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,red,winter,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,fall,TRUE,shrub,medium,10.0,Giant Turk's Cap,False
shade,white,summer,TRUE,vine,small,10.0,Giant Turk's Cap,False
partial sun,orange,summer,FALSE,shrub,large,10.0,Giant Turk's Cap,True
sun,pink,summer,TRUE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,spring,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,summer,FALSE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
sun,pink,fall,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,summer,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
shade,blue,winter,FALSE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,blue,winter,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,True
partial sun,white,fall,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,blue,spring,TRUE,shrub,medium,10.0,Giant Turk's Cap,False
partial sun,white,fall,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,pink,fall,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,summer,FALSE,vine,medium,10.0,Mexican Zinnia,True
sun,yellow,fall,TRUE,annual,small,10.0,Mexican Zinnia,False
partial sun,yellow,summer,TRUE,vine,medium,10.0,Giant Turk's Cap,False
sun,white,winter,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,white,spring,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
sun,white,winter,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
sun,orange,fall,FALSE,perennial,small,10.0,Mexican Zinnia,False
shade,orange,fall,TRUE,tropical,small,10.0,Mexican Zinnia,False
sun,pink,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,True
shade,orange,spring,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,red,summer,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
shade,orange,spring,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,winter,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,summer,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,fall,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,winter,TRUE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
shade,pink,spring,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,FALSE,shrub,large,10.0,Giant Turk's Cap,False
shade,blue,winter,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,white,fall,TRUE,shrub,small,10.0,Giant Turk's Cap,False
shade,pink,summer,FALSE,shrub,large,10.0,Giant Turk's Cap,True
partial sun,blue,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,white,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,white,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
shade,white,fall,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,blue,spring,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,FALSE,shrub,small,10.0,Giant Turk's Cap,False
partial sun,yellow,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,winter,TRUE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,summer,TRUE,vine,medium,10.0,Mexican Zinnia,False
sun,pink,winter,FALSE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,True
shade,red,spring,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,True
shade,red,summer,TRUE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
sun,orange,summer,FALSE,tropical,large,10.0,Mexican Zinnia,True
sun,yellow,fall,TRUE,annual,small,10.0,Mexican Zinnia,False
partial sun,white,fall,FALSE,vine,small,10.0,Giant Turk's Cap,False
partial sun,orange,fall,FALSE,tropical,medium,10.0,Giant Turk's Cap,True
sun,white,winter,FALSE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,fall,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
sun,blue,spring,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,pink,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,summer,FALSE,shrub,large,10.0,Mexican Zinnia,True
partial sun,white,winter,FALSE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
shade,red,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,yellow,winter,FALSE,perennial,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,summer,TRUE,vine,medium,10.0,Giant Turk's Cap,True
shade,red,fall,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
partial sun,pink,spring,FALSE,vine,large,10.0,Giant Turk's Cap,False
shade,white,summer,TRUE,vine,medium,10.0,Giant Turk's Cap,False
shade,pink,summer,FALSE,tropical,small,10.0,Giant Turk's Cap,True
partial sun,pink,summer,FALSE,tropical,medium,10.0,Giant Turk's Cap,True
partial sun,pink,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
shade,pink,fall,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,summer,TRUE,shrub,medium,10.0,Giant Turk's Cap,False
sun,yellow,spring,TRUE,perennial,large,10.0,Mexican Zinnia,False
partial sun,red,spring,FALSE,annual,small,10.0,Giant Turk's Cap,False
partial sun,orange,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,False
shade,yellow,spring,FALSE,tropical,small,10.0,Giant Turk's Cap,False
shade,red,fall,FALSE,shrub,large,10.0,Giant Turk's Cap,False
sun,pink,fall,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,True
shade,white,winter,FALSE,vine,large,10.0,Giant Turk's Cap,False
shade,white,fall,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,white,winter,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,True
partial sun,red,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,red,summer,TRUE,annual,large,10.0,Giant Turk's Cap,False
shade,orange,summer,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
sun,orange,spring,TRUE,shrub,small,10.0,Mexican Zinnia,False
shade,white,fall,FALSE,perennial,large,10.0,Mexican Zinnia,True
shade,orange,fall,FALSE,vine,large,10.0,Mexican Zinnia,True
partial sun,pink,spring,FALSE,shrub,medium,10.0,Giant Turk's Cap,True
partial sun,yellow,summer,TRUE,annual,medium,10.0,Giant Turk's Cap,True
shade,pink,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,True
partial sun,blue,summer,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,white,summer,FALSE,perennial,small,10.0,Giant Turk's Cap,False
partial sun,red,spring,FALSE,vine,large,10.0,Giant Turk's Cap,True
partial sun,yellow,summer,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,yellow,fall,TRUE,perennial,medium,10.0,Mexican Zinnia,True
shade,pink,summer,FALSE,annual,large,10.0,Mexican Zinnia,False
shade,white,winter,FALSE,annual,large,10.0,Mexican Zinnia,False
sun,pink,summer,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,True
sun,yellow,winter,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,pink,fall,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,True
sun,yellow,winter,FALSE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,spring,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,fall,TRUE,annual,large,10.0,Giant Turk's Cap,True
shade,yellow,fall,FALSE,vine,medium,10.0,Giant Turk's Cap,True
sun,orange,winter,FALSE,tropical,small,10.0,Pam's Pink American Honeysuckle,False
shade,yellow,fall,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,True
sun,white,fall,TRUE,tropical,large,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,spring,FALSE,shrub,large,10.0,Giant Turk's Cap,False
shade,white,spring,FALSE,vine,medium,10.0,Giant Turk's Cap,True
partial sun,pink,spring,FALSE,perennial,large,10.0,Giant Turk's Cap,False
partial sun,orange,spring,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,white,fall,TRUE,tropical,small,10.0,Giant Turk's Cap,False
sun,blue,spring,TRUE,annual,large,10.0,Giant Turk's Cap,True
sun,orange,spring,TRUE,annual,medium,10.0,Mexican Zinnia,True
sun,yellow,winter,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,spring,FALSE,vine,large,10.0,Giant Turk's Cap,False
partial sun,white,summer,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
shade,white,spring,FALSE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,white,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,True
sun,white,spring,TRUE,perennial,small,10.0,Giant Turk's Cap,False
sun,pink,winter,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,summer,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,orange,spring,TRUE,tropical,large,10.0,Mexican Zinnia,False
sun,blue,spring,TRUE,perennial,large,10.0,Mexican Zinnia,True
partial sun,yellow,spring,FALSE,vine,large,10.0,Giant Turk's Cap,False
sun,white,spring,TRUE,vine,large,10.0,Giant Turk's Cap,False
sun,yellow,summer,FALSE,shrub,small,10.0,Mexican Zinnia,False
partial sun,orange,summer,TRUE,tropical,small,10.0,Giant Turk's Cap,True
sun,orange,summer,TRUE,vine,small,10.0,Mexican Zinnia,True
partial sun,white,winter,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,True
partial sun,blue,fall,FALSE,vine,large,10.0,Giant Turk's Cap,True
shade,white,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,False
partial sun,yellow,summer,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,blue,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,red,fall,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,fall,FALSE,shrub,medium,10.0,Giant Turk's Cap,True
sun,pink,fall,TRUE,vine,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,blue,spring,TRUE,vine,small,10.0,Giant Turk's Cap,False
partial sun,white,summer,FALSE,tropical,large,10.0,Giant Turk's Cap,False
shade,blue,spring,FALSE,vine,medium,10.0,Giant Turk's Cap,True
shade,orange,summer,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,white,spring,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
partial sun,orange,fall,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
sun,yellow,fall,FALSE,vine,medium,10.0,Mexican Zinnia,True
shade,red,winter,TRUE,tropical,large,10.0,Mexican Zinnia,False
shade,blue,spring,TRUE,annual,medium,10.0,Mexican Zinnia,False
shade,orange,summer,FALSE,annual,large,10.0,Mexican Zinnia,False
shade,white,winter,FALSE,annual,small,10.0,Mexican Zinnia,False
partial sun,yellow,spring,FALSE,tropical,large,10.0,Giant Turk's Cap,False
sun,orange,fall,FALSE,vine,large,10.0,Mexican Zinnia,False
partial sun,blue,summer,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
partial sun,pink,summer,FALSE,annual,large,10.0,Giant Turk's Cap,True
sun,yellow,spring,TRUE,annual,medium,10.0,Mexican Zinnia,False
partial sun,white,fall,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
shade,orange,fall,FALSE,annual,large,10.0,Giant Turk's Cap,True
shade,red,spring,TRUE,tropical,small,10.0,Giant Turk's Cap,False
sun,orange,summer,TRUE,tropical,small,10.0,Mexican Zinnia,True
partial sun,red,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,summer,TRUE,vine,large,10.0,Pam's Pink American Honeysuckle,False
sun,pink,winter,TRUE,annual,large,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,FALSE,shrub,medium,10.0,Pam's Pink American Honeysuckle,False
sun,orange,winter,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,True
shade,yellow,summer,TRUE,perennial,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,summer,FALSE,shrub,small,10.0,Giant Turk's Cap,False
shade,blue,spring,TRUE,shrub,small,10.0,Giant Turk's Cap,False
sun,blue,summer,TRUE,shrub,large,10.0,Giant Turk's Cap,False
shade,yellow,summer,TRUE,perennial,medium,10.0,Giant Turk's Cap,False
partial sun,red,summer,FALSE,annual,medium,10.0,Giant Turk's Cap,False
partial sun,blue,winter,TRUE,perennial,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,fall,FALSE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
sun,white,fall,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,white,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,red,spring,FALSE,shrub,medium,10.0,Giant Turk's Cap,False
shade,white,spring,FALSE,shrub,small,10.0,Giant Turk's Cap,True
shade,pink,fall,FALSE,vine,small,10.0,Giant Turk's Cap,False
shade,pink,spring,TRUE,shrub,small,10.0,Giant Turk's Cap,False
shade,white,fall,TRUE,vine,large,10.0,Giant Turk's Cap,False
shade,red,fall,FALSE,annual,large,10.0,Giant Turk's Cap,False
sun,blue,winter,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,True
shade,orange,spring,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,pink,spring,FALSE,shrub,small,10.0,Pam's Pink American Honeysuckle,True
shade,yellow,winter,FALSE,annual,large,10.0,Pam's Pink American Honeysuckle,False
sun,orange,summer,FALSE,vine,small,10.0,Mexican Zinnia,True
sun,orange,summer,TRUE,vine,small,10.0,Mexican Zinnia,False
sun,yellow,fall,TRUE,annual,large,10.0,Mexican Zinnia,True
sun,orange,spring,FALSE,tropical,large,10.0,Mexican Zinnia,False
shade,orange,spring,FALSE,annual,small,10.0,Mexican Zinnia,False
sun,white,summer,FALSE,annual,large,10.0,Mexican Zinnia,False
shade,blue,fall,FALSE,annual,medium,10.0,Mexican Zinnia,False
sun,blue,winter,FALSE,annual,small,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,spring,FALSE,vine,large,10.0,Giant Turk's Cap,False
partial sun,pink,fall,FALSE,annual,medium,10.0,Giant Turk's Cap,True
sun,white,spring,FALSE,annual,large,10.0,Giant Turk's Cap,False
sun,orange,summer,FALSE,shrub,small,10.0,Mexican Zinnia,False
partial sun,yellow,spring,TRUE,vine,medium,10.0,Giant Turk's Cap,False
partial sun,blue,fall,TRUE,annual,medium,10.0,Giant Turk's Cap,False
sun,red,summer,TRUE,annual,large,10.0,Giant Turk's Cap,False
partial sun,red,fall,TRUE,tropical,medium,10.0,Giant Turk's Cap,True
sun,red,summer,FALSE,tropical,small,10.0,Giant Turk's Cap,False
partial sun,pink,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,pink,winter,TRUE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,orange,fall,FALSE,vine,small,10.0,Pam's Pink American Honeysuckle,False
sun,orange,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,True
sun,red,winter,FALSE,tropical,medium,10.0,Pam's Pink American Honeysuckle,False
partial sun,orange,fall,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,orange,spring,FALSE,perennial,medium,10.0,Giant Turk's Cap,False
partial sun,white,summer,FALSE,tropical,medium,10.0,Giant Turk's Cap,False
shade,orange,spring,TRUE,tropical,large,10.0,Giant Turk's Cap,False
partial sun,pink,winter,FALSE,perennial,medium,10.0,Pam's Pink American Honeysuckle,True
sun,pink,spring,TRUE,shrub,large,10.0,Pam's Pink American Honeysuckle,False
sun,yellow,fall,FALSE,perennial,medium,10.0,Mexican Zinnia,False
shade,orange,spring,TRUE,vine,large,10.0,Mexican Zinnia,False
sun,orange,summer,FALSE,vine,small,10.0,Mexican Zinnia,True
partial sun,blue,winter,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,blue,summer,TRUE,perennial,large,10.0,Pam's Pink American Honeysuckle,True
sun,yellow,fall,FALSE,perennial,medium,10.0,Mexican Zinnia,False
shade,red,winter,TRUE,annual,large,10.0,Mexican Zinnia,True
sun,yellow,winter,TRUE,vine,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,fall,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,pink,fall,FALSE,annual,medium,10.0,Pam's Pink American Honeysuckle,False
shade,blue,spring,TRUE,shrub,small,10.0,Pam's Pink American Honeysuckle,False
shade,orange,spring,TRUE,annual,small,10.0,Pam's Pink American Honeysuckle,False
sun,red,summer,TRUE,tropical,medium,10.0,Giant Turk's Cap,False
partial sun,pink,summer,TRUE,vine,large,10.0,Giant Turk's Cap,True
shade,red,summer,FALSE,tropical,large,10.0,Giant Turk's Cap,True
