Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Turk's Cap,0,Malvaviscus arboreus var. drummondii,"sun, partial sun, shade",10,"An outstanding native Texas herbaceous perennial. Spreads from root suckers and seeds; dark green lobed red maple like leaves; 1 inch long upright red flowers; adaptable to sun or shade, best in partial shade. Excellent in naturalized landscapes, shaded understories, tall groundcover, hummingbird plant.","Perennial, groundcover, small shrub","Red, twisted mallow-like flower, resembles a turk's turbin","Spring, summer, fall","Red berry-like, good wildlife food",66,15,9,Can be used as an annual in cooler climates; foliage can become distorted (puckered) in full sun.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Heavenly Bamboo or Nandina,0,Nandina domestica,"sun, partial sun, shade",10,"Nandina domestica is a reliable old-fashioned medium size evergreen shrub that has gained renewed popularity with the introduction / promotion of new dwarf cultivars. The coarse seldom-branched suckering stems are hidden by the highly dissected bipinnate or tripinnately compound leaves. The foliage color ranges from a bright green to dark green, red, or yellow depending upon the developmental stage of the foliage and / or cultivar. The white spring flowers and red fall / winter berries are assets on the species types.","Shrub, small shrub, medium shrub",Creamy white panicles in spring,Spring,Panicles of bright red berries,10,0,7,"Despite its generally wide adaptability, the species tends to be short-lived on some sites. With adequate moisture Nandina can tolerate full sun, but in general it benefits from some afternoon shade in most of Texas. Nandina can survive in surprisingly dense shade, however, the foliage is open and generally unthrifty. Chlorosis can develop on very high pH soils.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Rockrose,0,Pavonia lasiopetala,"sun, partial sun",10,"Rockrose is a small deciduous to semi-evergreen shrub, subshrub, herbaceous perennial or summer annual depending upon the region in which it is grown. Plants have irregularly rounded crowns and look best in masses. The small cordate leaves and pink hibiscus-like flowers add seasonal interest. It works best as summer color, a tall bank or groundcover, in mixed perennial borders, for naturalizing, or low shrub in warmer regions.","warm season annual, perennial, groundcover, shrub, small shrub",Pink,"Spring, summer, fall",Schizocarp,36,42,10,Plants are marginally hardy in USDA zone 7 and are usually subshrubs or herbaceous perennials in zone 8.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Ash Juniper,0,Juniperus ashei,sun,10,Ash Juniper is an evergreen large shrub to medium size tree native to the Texas Hill Country. This species range occurs just to the west of that of Juniperus virginiana. Trees begin roughly conical and become more rounded in habit at maturity. Trunks may be single to multiple stem. The bark on the sinuous trunk exfoliates in stringy strips. It serves as critical habitate for several species of wildlife.,"Shrub, large shrub, upright conifer, tree, small tree, medium tree","None, trees develop cones.","Spring, winter",Small globose green to blue-green cones.,210,210,7,Tends to develop dense thickets when not controlled.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
"Anacahuite, Texas Olive, or Mexican Olive",0,Cordia boissieri,"sun, partial sun",10,Anacahuite is a handsome large shrub to small evergreen to semievergreen tree native to Texas and Mexico. The cymes of showy white flowers are highlighted by the dark green foliage background. Anacahuite has become a popular small tree for subtropical and tropical landscapes outside its native range.,"Large shrub, small tree","White, perfect, in 6 to 8 flowered cymes, showy","Spring, summer","Oblong drupes, 1 inch long, green maturing to brown or red-brown, a fleshy pulp surrounds a hard white nutlet-like seed.",150,210,9,Avoid use in poorly drained soils. Reportedly resistant to cotton root rot.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Primrose Jasmine,0,Jasminum mesnyi,"sun, partial sun",10,Primrose Jasmine is a small to medium size semi-evergreen to evergreen shrub. Plants develop long arching stems resulting in a flowing mound of foliage that works well cascading down slopes or over retaining walls. Solitary bright yellow flowers appear in late winter to early spring when few other shrubs are in bloom.,"Shrub, small shrub, medium shrub","Bright yellow, solitary, single or semi-double, 1.5 inch to 2.0 inch across","Spring, winter","Small black berry, not ornamental",66,96,8,"Plants may need periodic pruning to enhance their shape. Bothered by very few pests or diseases. Tough durable shrub. Bloom is interesting, but not breathtaking.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Dwarf Pampas Grass,0,Cortaderia selloana,"sun, partial sun",10,"Dwarf Pampas Grass is a smaller version of the species type, that is about half to two-thirds the size. Useful near parking lots and sidewalks to allow a better range of vision.","Perennial, grasses",White,Summer,"Dried plumes, somewhat smaller than the species type",66,66,8,Similar to the species type in cultural requirements.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Gray Cotoneaster,0,Cotoneaster glaucophyllus,sun,10,"Gray Cotoneaster is a small to medium size irregularly urpight rounded evergreen shrub. Although potentially larger, most plants in our region mature at 2 to 4 tall with an equal or greater spread. The primary ornamental features are the small leaves covered in dense silver-white pubescence. Flower and fruit effects are minimal compared to the foliage. Site in a sunny spot with good air movement. Very nice in combination with violet or blue flowering plants.","Groundcover, shrub, small shrub, medium shrub","Pink, tiny, mildly effective","Spring, summer","Small, pink to red, mildly effective",36,54,6,"Appears to tolerate hot humid conditions better an most Cotoneasters. Drip irrigation is better than overhead with Cotoneasters. Needs a steady moisture supply, but also a very well drained soil.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Sotol or Desert Spoon,0,Dasylirion spp.,sun,10,"Sotol are close relatives of Nolina, and are similar in useage to Agavae and Yucca. Sotol exist in arid regions as small evergreen shrub-like clumps of strap-like or sword-like foliage, with or without marginal spines. The spiky flowering stalks are spectacular, sometimes reaching 15 ft in height. Plants are dioecious with females having showier creamy white flowers than the males.",Small shrub,Creamy white,"Spring, summer",Not ornamental,36,36,None,"Require a sunny location with well drained soil, otherwise very adaptable. Few diseases or pests. Native Americans formerly distilled a fermented drink from the plant carrying the same name, sotol.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Persimmon,0,Diospyros texana,sun,10,"Texas Persimmon is a small native tardily deciduous tree. The fine textured dark green foliage, gnarled branching habit, exfoliating bark, and wide range of suitable environments for growth suggest it is underutilized in modern landscapes. The trunks of old specimens are sometimes the rival of Crapemyrtles (Lagerstroemia spp.). Familiarity often breeds contempt, but susceptible to a leaf roller, leaf spot, and cotton root rot also limit useage.","Large shrub, small tree","Green to white-green, interesting on close inspection, resemble small urns",Spring,"On female trees only, 1 inch diameter black berries (persimmons)",210,210,8,Tolerant of most soils and sites as long as they were sunny and the soils not soggy.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Desert Willow,0,Chilopsis linearis,sun,10,"Desert Willow is a delicate small deciduous tree native to West Texas. Desert Willow derives its name from the resemblence of the foliage to that of willows (Salix spp.). In addition to its ability to withstand arid conditions, it offers recurring flushes of white to lavender maroon Catalpa-like flowers in small panicles. Growth is irregular and requires attention to trunk development during early growth.","Shrub, large shrub, tree, small tree","White to lavender-maroon, bicolors","Spring, summer, fall",Small greenbean-shaped two-valved pod containing small flattened winged seeds,210,210,8,"Actually quite well adapted throughout Texas except for colder portions of the Panhandle; good xeriscape plant; persistent seed pods can be messy; the related X Chitalpa tashkentensis is a hybrid between Chilopsis linearis and Catalpa bignonioides with white to pale pink Catalpa-like flowers in recurring flushes, but is susceptible to Alterneria leaf spot.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
"Eucalyptus, Gum Tree, or Ironbarks",0,Eucalyptus spp.,sun,10,"Eucalyptus are a huge genus of small to large mostly evergreen trees. Some of the largest trees in the world are Eucalyptus spp. Many species have attractive blue-green aromatic leaves; foliage is frequently opposite and rounded in youth becoming alternate and ovate to lanceolate at maturity. Flowering can be attractive, but may not be as valued as the platy to exfoliating bark character on many species.","Warm season annual, tree, small tree, medium tree, large tree, tropical","Inconspicuous to spectacular, various colors but yellow-green and red are common in cultivated species","Spring, summer, fall","Small capsule, not ornamental",1860,0,8,"In their native habitat and on the West Coast  some species are cold hardy to USDA zone 8, but fall acclimation is poor in much of Texas resulting in severe to minimal dieback in most years; large tree form specimens in Texas are infrequent. Most species require good drainage and tend to become chlorotic on high pH soils.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Kidneywood,0,Eysenhardtia texana,"sun, partial sun",10,Texas Kidneywood is an open canopied medium to large deciduous shrub valued for its arid landscape tolerance and showy racemes of small fragrant trumpet-shpaed white flowers.,"Medium shrub, large shrub",None,"Spring, summer",None,84,96,8,"This is a tough Hill Country native suitable for mixed shrub borders, naturalizing, and xeriscapes. It's cold tolerance has not been fully tested. No fall color develops on this species.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Apache Plume,0,Fallugia paradoxa,"sun, partial sun",10,"Apache Plumes are semi-evergreen shrubs useful in West and South Texas landscapes. When properly grown the plants form a rounded mound with attractive white flowers and handsome white-pink plume-like fruits that resemble miniature native American headpieces, hence the common name Apache Plume.","Small shrub, medium shrub","White, flat five-petal flower","Spring, summer, fall","1 inch to 2 inch long whispy plume-like, persistent, attractive",54,54,8,Root rots can be problems in poorly drained soils. Can become weedy on favorable sites. Benefits from yearly renewal pruning. In some locations best treated as a subshrub or herbaceous perennial. Cold hardiness varies widely with provenance.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Fig,0,Ficus carica,sun,10,The Common Fig is a large deciduous coarse textured multi-stem shrub with an upright to rounded crown. Large dark green lobed leaves can lend a tropical appearance. Ficus carica is the source of commerical figs and is widely cultivated in home gardens. Consult your local extension agent or nursery professional to learn which cultivars perform best in your local area. Contact with the latex (sap) from pruned surfaces can cause a contact dermatitis in some individuals; exercise caution when pruning.,Large shrub,Not ornamental,"Spring, summer","Commercial fig, edible for most people, purple, brown, to nearly-black, poisonous reactions have been reported for some individuals",66,53,7,"Cold hardiness varies significantly among cultivars, some are herbaceous perennials even in USDA zone 8 while others are stem hardy to z. 7 and root hardy in protected sites in z. 6b. Common Fig does not grow as well in heavy clay soils as those that are better drained. Tends to quickly outgrow the scale of many urban and suburban lots.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Redbud,0,Cercis canadensis var. texensis,sun,10,"Texas Redbuds are valued for their attractive dark rose-purple flowers and dark glossy green leaves. Texas Redbuds have smaller, glossier, thicker, and more undulate margin leaves than the species type. Also Texas Redbuds are more tolerant to drought and are smaller than the species type.",Small tree,"Rose-purple, occasionally white",Spring,Small flattened pod and seeds,210,210,None,better adapted to Central Texas than Eastern Redbud (Cercis canadensis var. canadensis).,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Mexican Redbud,0,Cercis canadensis var. mexicana,sun,10,"Mexican Redbuds are similar to Texas Redbuds (Cercis canadensis var. texensis) and Eastern Redbuds (Cercis canadensis var. canadensis), except they are smaller in stature, have smaller more glossy undulate leaves, and are more drought tolerant.","Large shrub, small tree",Rose-purple,Spring,Small flattened pods and seeds,150,150,9,"A good plant for Central and West Texas, but tends to develop root rots in moister East Texas sites.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Ocotillo,0,Fouquieria splendens,sun,10,"Ocotillo is a classic West Texas large shrub or multi-stem small tree. The plant is sometimes known as Albarda or Coach Whip. The sparsely branched tubular Cholla-like stems sucker from the  crown creating a stiffly upright cylinder of wickedly spiny stems. Small green leaves occur during moist warm seasons. Windblown sprays of red flowers are borne in spring. Effective barrier, accent, xeriscape, or naturalizing plant for West Texas.","Large shrub, small tree",Red,Spring,"Capsules, not ornamental",120,54,10,"Needs absolutely well drained soils; tolerant of as little as 5 inch to 6 inch of rainfall per year;not well adapted to Central and East Texas; very slower grower, threatened in the wild due to unscrupulous harvesting.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Carolina Jessamine,0,Gelsemium sempervirens,"partial sun, shade",10,Carolina Jessamine is a Texas native evergreen twining vine with outstanding winter to early spring flowers. The bright yellow flowers contrast well with the fine textured dark glossy green leaves.,Vine,"Bright yellow, effective in bud as well as in bloom","Spring, fall, winter","Capsule, not ornamental",0,0,8,"Can be somewhat tempermental in establishment; in the right location very durable, sometimes dies for no apparent reason in other locations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Tree Cholla,0,Opuntia imbricata,sun,10,"Tree Cholla is the most frequently utilized native tubular stem cacti in Texas. This West Texas native forms a medium shrub to small tree with branched swollen tubular stem segments resulting in a candelabra effect. Attractive purple-pink flowers and 1 inch to 2 inch long yellow fruit are assets. Excellent xeriscape plant, adds a southwestern flare to landscapes.","Medium shrub, large shrub, small tree",Pink-purple,"Spring, summer","Tuna, urn-shaped, yellow",72,54,10,Surprisingly adapted to a wide range of soils as long as they are well drained; cochineal scale and squash bugs can mar their appearance.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Red Yucca,0,Hesperaloe parviflora,"sun, partial sun",10,"Red Yucca is very similar in appearance to the non-trunk forming Yucca spp., consisting of small clumps of thickish dark green recurved sword-like foliage. An important feature is the recurrent flowering, with spikes of red-pink flowers occurring from spring to late summer. Red Yucca works well in xeriscapes and is more amenable to widespread usage and looks more congruous in mesic environments than most Yucca spp. The foliage is thicker and not spine tipped posing less of a pedestrian hazzard than Yucca spp.",Small shrub,"Red-pink, a pale yellow form is available, but not is more green than bright yellow","Spring, summer","Caspules with black seeds, not ornamental",18,13,10,For my money a better landscape plant than Yucca spp.; good butterfly and hummingbird plant.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Shrub Morning Glory or Bush Morning Glory,0,Ipomoea carnea subsp. fistulosa (Ipomoea fistulosa),sun,10,Shrub Morning Glory is an old-fashion dooryard plant in South Texas enjoying a resurgence of interest as a herbaceous perennial or summer annual in cooler climates. This coarse-textured plant can form a large upright shrub in a season; covered from mid-spring to frost with large lavender trumpet-shaped blossoms; flowers usually close in the afternoon unless the day is cloudy.,"Warm season annual, perennial, medium shrub, large shrub, tropical","Lavender, 2 inch to 3.5 inch long, profusely borne","Spring, summer, fall","Capsule, not ornamental.",84,60,10,"Very adaptable taxa; responds well to fertilization; easily rooted from cuttings; herbaceous perennial in USDA zone 8 to 9a, woody shrub in 9b and warmer climates. Can escape cultivation and invade tropical wetlands; seeds require substantial scarification prior to germination.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Morning Glory,0,Ipomoea purpurea,sun,10,"Common Morning Glory is one of the most widely recognized annual flowering vines in garden use. The medium to dark green cordate leaves contrast with the purple, blue, white, pink, or red trumpet-shaped flowers. An old-fashion favorite of gardeners, it is hated by farmers as a common weed species. Native to the tropics, it has naturalized over much of North America. Flowers effective in morning, but close in the heat of the day.","Warm season annual, tropical, vine","Species type is purple-blue, many of the white, sky blue, pink, and red cultivars associated with this species are perhaps actually Ipomoea tricolor subtaxa.","Spring, summer, fall",Small capsule with black seeds,270,270,6,Very tough annual vine; too adaptable as it frequently becomes a reseeding weed.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Aleppo Pine,0,Pinus halepensis,sun,10,Aleppo Pine is a medium to large coniferous tree that is generally similar in appearance and usage to Pinus eldarica (Afghan Pine). Probably one of the best pines for use in USDA zone 8 and warmer portions of the southwestern USA deserts.,"Upright conifer, medium tree, large tree",Not ornamental,"Spring, winter",Woody cone,480,240,8,"Fairly soil adaptable as long as it is well drained. Not as cold hardy as Afghan Pine, but otherwise well adapted to arid conditions.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Spanish Daggers or Yucca,0,Yucca spp.,sun,10,"Yuccas are a classic arid landscape plant ranging from a trunkless rosette of sword-like foliage to a small branched tree such as the Joshua Tree. Most are coarse textured with huge candelabra-like panicles of creamy white bell-shaped flowers. Effective in xeriscapes, rock gardens, in naturalizing, theme gardens, or as accents or barrier plants.","Small shrub, medium shrub, large shrub, small tree",White to creamy white,"Spring, summer","Dehiscent woody capsules, not ornamental, deadhead",186,13,10,"Cold hardiness is variable in the genus from USDA zone 4 to nearly tropical, zone 9 or 10. All Yucca spp. are drought tolerant, most can withstand heat, salt, and pollution as well.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Showy Stonecrop Sedum,0,Sedum spectabile,"sun, partial sun",10,Showy Stonecrop Sedum is a widely utilized herbaceous perennial succulent in American gardens. It is well adapted to heat or cold as well as moderate drought. The succulent foliage forms a rounded mound after overwintering in a rosette form. Foliage is topped with attractive umbels of white to bronze-red small flowers; the persistent seed heads are attactive into autumn.,Perennial,Off-white to bronze-red,Summer,"Persistent, showy",18,18,10,Needs only occasional watering in summer.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Hen-And-Chicks,0,Sempervivum tectorum,sun,10,"Hen-And-Chicks are an old world perennial. Plants exist as small rosettes of succulent leaves. Foliage varies from green, gray-green, to bronze. Clumps spread by suckering of new plants around the base of the mother plants. Popular in rock gradens or in strawberry pots.",Perennial,Pale purple to red-purple,Summer,Not ornamental,3,4,10,Not picky as to soils as long as they are well drained.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
